Date,Close,Open,High,Low,Vol.,Change %
14/03/2024,1011.6,1000.04,1011.6,998.61,4.94B,0.0081
15/03/2024,997.47,1006.2,1007.87,991.01,14.42B,-0.014
18/03/2024,993.6,999.66,1004.73,993.6,6.77B,-0.0039
19/03/2024,997.15,997.57,1004.03,996.14,4.85B,0.0036
20/03/2024,992.93,989.97,995.32,988.12,7.90B,-0.0042
21/03/2024,994.77,999.38,1003.94,994.77,4.54B,0.0019
22/03/2024,996.74,992.41,997.24,990.58,3.74B,0.002
25/03/2024,1001.91,994.44,1001.91,990.2,3.39B,0.0052
26/03/2024,997.8,993.12,999.03,991.76,4.88B,-0.0041
27/03/2024,990.37,997.49,999.1,988.76,3.93B,-0.0074
28/03/2024,985.97,985.78,991.28,979.99,4.02B,-0.0044
1/4/2024,969.08,985.27,986.92,957.79,3.32B,-0.0171
2/4/2024,968.37,967.7,969.82,953.53,4.47B,-0.0007
3/4/2024,953.9,963.03,965.41,951.66,3.31B,-0.0149
4/4/2024,967.77,954.85,968.67,954.78,3.27B,0.0145
5/4/2024,963.73,965.73,970.61,963.49,2.77B,-0.0042
16/04/2024,935.34,928.68,947.27,924.96,8.00B,-0.0295
17/04/2024,928.35,943.3,946.71,928.35,5.13B,-0.0075
18/04/2024,935.51,932.9,939.55,929.86,4.17B,0.0077
19/04/2024,920.31,927.44,929.54,914.45,5.94B,-0.0162
22/04/2024,921.46,922.77,926.69,912.32,4.07B,0.0012
23/04/2024,927.64,927.95,937.95,924.33,5.20B,0.0067
24/04/2024,931.35,931.16,936.67,924.88,5.02B,0.004
25/04/2024,923.49,929.79,931.81,920.62,3.72B,-0.0084
26/04/2024,898.78,919.45,921.89,898.78,4.50B,-0.0268
29/04/2024,915.35,895.22,917.38,894.65,4.75B,0.0184
30/04/2024,926.73,922.62,933.97,919.58,5.80B,0.0124
1/5/2024,926.73,922.62,933.97,919.58,,0
2/5/2024,898.75,925.48,925.95,893.48,4.80B,-0.0302
3/5/2024,903.33,904.15,908.31,894.89,6.48B,0.0051
6/5/2024,906.29,910.9,912.3,900.05,6.08B,0.0033
7/5/2024,898.02,906.22,908.28,897.15,4.32B,-0.0091
8/5/2024,893.43,898.9,906.55,891.85,4.36B,-0.0051
13/05/2024,895.55,887.55,897.21,885.36,4.27B,0.0024
14/05/2024,892.58,895.2,898.78,891.01,3.24B,-0.0033
15/05/2024,901.4,893.02,904.78,890.92,3.42B,0.0099
